ticker,as_of,industry,reason
GOOGL,2026-09-01,COMMUNICATION_SERVICES,interactive media (SIC 7370)
META,2026-09-01,COMMUNICATION_SERVICES,interactive media (SIC 7370)
DIS,2026-09-01,COMMUNICATION_SERVICES,media and entertainment
V,2026-09-01,FINANCIAL_SERVICES,payments
MA,2026-09-01,FINANCIAL_SERVICES,payments
PYPL,2026-09-01,FINANCIAL_SERVICES,payments
FI,2026-09-01,FINANCIAL_SERVICES,payments and processing
FIS,2026-09-01,FINANCIAL_SERVICES,payments and processing
GPN,2026-09-01,FINANCIAL_SERVICES,payments
SPGI,2026-09-01,FINANCIAL_SERVICES,ratings and indices
MCO,2026-09-01,FINANCIAL_SERVICES,ratings
MSCI,2026-09-01,FINANCIAL_SERVICES,indices and analytics
KMI,2026-09-01,ENERGY,midstream (natural gas transmission SIC)
WMB,2026-09-01,ENERGY,midstream
OKE,2026-09-01,ENERGY,midstream
TRGP,2026-09-01,ENERGY,midstream
CCL,2026-09-01,CONSUMER_SERVICES,cruise lines
RCL,2026-09-01,CONSUMER_SERVICES,cruise lines
NCLH,2026-09-01,CONSUMER_SERVICES,cruise lines
LRCX,2026-09-01,SEMICONDUCTORS,semiconductor equipment
KLAC,2026-09-01,SEMICONDUCTORS,semiconductor equipment
TER,2026-09-01,SEMICONDUCTORS,semiconductor test
IBM,2026-09-01,SOFTWARE_SERVICES,IT services and software
ACN,2026-09-01,SOFTWARE_SERVICES,IT services
DHR,2026-09-01,PHARMA_BIOTECH,life-science tools
CVS,2026-09-01,HEALTH_CARE_EQUIP_SERVICES,pharmacy benefits and managed care
PCAR,2026-09-01,CAPITAL_GOODS,heavy trucks
GLW,2026-09-01,TECH_HARDWARE,glass and optical components
ECL,2026-09-01,MATERIALS,specialty chemicals
ADP,2026-09-01,COMMERCIAL_SERVICES,payroll and HR services
PAYX,2026-09-01,COMMERCIAL_SERVICES,payroll and HR services
CTAS,2026-09-01,COMMERCIAL_SERVICES,uniform and facility services
FRC,2022-01-03,BANKS,FDIC filer: no SEC SIC code
AABA,2017-01-03,SOFTWARE_SERVICES,Altaba (formerly Yahoo): SIC blank after it became a fund
LVLT,2017-01-03,COMMUNICATION_SERVICES,Level 3: surviving registrant is an LLC without SIC
TWC,2016-03-01,COMMUNICATION_SERVICES,Time Warner Cable: surviving registrant is an LLC without SIC
